"favorable_gene_sort.1.sum.favorable_gene_sort...3.."
"CD2",6
"ZNF101",6
"C3orf62",6
"CERS4",5
"CIRBP",5
"CD5",5
"ARHGAP26",5
"SLAMF6",5
"CD3D",5
"ZNF266",5
"SEPTIN1",5
"SIGIRR",5
"FAM53B",5
"UNC13B",5
"CD3E",5
"TRBC2",5
"ZNF688",5
"SMIM27",5
"MPND",4
"APBA3",4
"CD6",4
"ACAA1",4
"HAGH",4
"TLE2",4
"CST7",4
"ZCWPW1",4
"PATZ1",4
"CBX7",4
"GGA2",4
"TYK2",4
"AKNA",4
"EXPH5",4
"SELPLG",4
"KLRB1",4
"CUL9",4
"CISH",4
"RPS6KA1",4
"ACADS",4
"S1PR4",4
"MCF2L",4
"ZNF557",4
"ATG4D",4
"ZNF414",4
"DGLUCY",4
"BICDL1",4
"USP20",4
"SIT1",4
"KYAT3",4
"CD27",4
"MARCHF9",4
"CSAD",4
"OCIAD2",4
"ACAD8",4
"SFXN2",4
"U2AF1L4",4
"BEND5",4
"PBXIP1",4
"SMIM14",4
"BDH2",4
"ZNF589",4
"SAP30L",4
"FBP1",4
"FAAH2",4
"PPFIBP2",4
"GPX4",4
"CYB5D2",4
"STX18",4
"HEXD",4
"TAPT1",4
"ZNF554",4
"ANAPC2",4
"GNG7",4
"SH2B1",4
"ZFP3",4
"CCDC159",4
"PIP5K1C",4
"SELL",4
"ZNF79",4
"ZSCAN16",4
"TRBV28",4
"REPIN1",4
"PLIN5",4
"FAM200B",4
"APOBEC3G",4
"APOBEC3D",4
"NUDT18",4
"TRAC",4
